186 findings in tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:5:81 error MD013/line-length Line length [Expected: 80; Actual: 187]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:65:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:66:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:67:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:68:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:71:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:72:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:73:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:74:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:75:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:76:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:77:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:78:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:79:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:80:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:81:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:82:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:85:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:86:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:87:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

